"","termid","original_name","lang"
"73",53,"<U+043D><U+0435><U+0434><U+043E><U+0441><U+0442><U+0430><U+0442><U+043E><U+0447><U+043D><U+043E><U+0435> <U+043F><U+0438><U+0442><U+0430><U+043D><U+0438><U+0435>","ru"
"74",53,"<U+05EA><U+05EA> <U+05EA><U+05D6><U+05D5><U+05E0><U+05D4>","hw"
"75",53,"<U+0633><U+0648><U+0621> <U+0627><U+0644><U+062A><U+063A><U+0630><U+064A><U+0629>","ar"
"76",53,"Malnutrition","en"
"77",54,"<U+041F><U+0440><U+043E><U+0434><U+043E><U+0432><U+043E><U+043B><U+044C><U+0441><U+0442><U+0432><U+0435><U+043D><U+043D><U+0430><U+044F> <U+0431><U+0435><U+0437><U+043E><U+043F><U+0430><U+0441><U+043D><U+043E><U+0441><U+0442><U+044C>","ru"
"78",54,"<U+05D1><U+05D8><U+05D7><U+05D5><U+05DF> <U+05EA><U+05D6><U+05D5><U+05E0><U+05EA><U+05D9>","hw"
"79",54,"<U+0627><U+0644><U+0627><U+0645><U+0646> <U+0627><U+0644><U+063A><U+0630><U+0627><U+064A><U+0654><U+064A>","ar"
"80",54,"Food Security","en"
"81",56,"<U+041A><U+0430><U+043B><U+043E><U+0440><U+0438><U+044F>","ru"
"82",56,"<U+05E7><U+05DC><U+05D5><U+05E8><U+05D9><U+05D4>","hw"
"83",56,"<U+0633><U+0639><U+0631><U+0629> <U+062D><U+0631><U+0627><U+0631><U+064A><U+0629>","ar"
"84",56,"Calorie","en"
"85",58,"<U+0412><U+043E><U+0437><U+043E><U+0431><U+043D><U+043E><U+0432><U+043B><U+044F><U+0435><U+043C><U+0430><U+044F> <U+044D><U+043D><U+0435><U+0440><U+0433><U+0438><U+044F>","ru"
"86",58,"<U+05D0><U+05E0><U+05E8><U+05D2><U+05D9><U+05D4> <U+05DE><U+05EA><U+05D7><U+05D3><U+05E9><U+05EA>","hw"
"87",58,"<U+0637><U+0627><U+0642><U+0629> <U+0645><U+062A><U+062C><U+062F><U+062F><U+0629>","ar"
"88",58,"Renewable Energy","en"
"89",59,"<U+0413><U+043B><U+043E><U+0431><U+0430><U+043B><U+044C><U+043D><U+043E><U+0435> <U+043F><U+043E><U+0442><U+0435><U+043F><U+043B><U+0435><U+043D><U+0438><U+0435>","ru"
"90",59,"<U+05E9><U+05D9><U+05E0><U+05D5><U+05D9> <U+05D0><U+05E7><U+05DC><U+05D9><U+05DD>","hw"
"91",59,"<U+0627><U+0644><U+0627><U+062D><U+062A><U+0628><U+0627><U+0633> <U+0627><U+0644><U+062D><U+0631><U+0627><U+0631><U+064A>","ar"
"92",59,"Climate change","en"
"93",6,"<U+042D><U+043A><U+043E><U+0441><U+0438><U+0441><U+0442><U+0435><U+043C><U+0430>","ru"
"94",6,"<U+05DE><U+05E2><U+05E8><U+05DB><U+05EA> <U+05D0><U+05E7><U+05D5><U+05DC><U+05D5><U+05D2><U+05D9><U+05EA>","hw"
"95",6,"<U+0646><U+0638><U+0627><U+0645> <U+0628><U+064A><U+064A><U+0654><U+064A>","ar"
"96",6,"Ecosystem","en"
"97",65,"<U+0417><U+0430><U+0433><U+0440><U+044F><U+0437><U+043D><U+0435><U+043D><U+0438><U+0435> <U+043F><U+043E><U+0447><U+0432><U+044B>","ru"
"98",65,"<U+05D6><U+05D9><U+05D4><U+05D5><U+05DD> <U+05E7><U+05E8><U+05E7><U+05E2>","hw"
"99",65,"<U+062A><U+0644><U+0648><U+062B> <U+0627><U+0644><U+062A><U+0631><U+0628><U+0629>","ar"
"100",65,"Soil contamination","en"
"101",66,"<U+041F><U+0430><U+0440><U+043D><U+0438><U+043A><U+043E><U+0432><U+044B><U+0435> <U+0433><U+0430><U+0437><U+044B>","ru"
"102",66,"<U+05D2><U+05D6> <U+05D7><U+05DE><U+05DE><U+05D4>","hw"
"103",66,"<U+063A><U+0627><U+0632><U+0627><U+062A> <U+062F><U+0641><U+064A><U+064A><U+0654><U+0629>","ar"
"104",66,"Greenhouse gas","en"
"105",68,"<U+0418><U+043D><U+0444><U+0435><U+043A><U+0446><U+0438><U+044F>","ru"
"106",68,"<U+05D6><U+05D9><U+05D4><U+05D5><U+05DD> <U+05E8><U+05E4><U+05D5><U+05D0><U+05D4>","hw"
"107",68,"<U+0639><U+062F><U+0648><U+0649>","ar"
"108",68,"Infection","en"
"109",70,"<U+041D><U+0430><U+0432><U+043E><U+0434><U+043D><U+0435><U+043D><U+0438><U+0435>","ru"
"110",70,"<U+05E9><U+05D9><U+05D8><U+05E4><U+05D5><U+05DF>","hw"
"111",70,"<U+0627><U+0644><U+0641><U+064A><U+0636><U+0627><U+0646>","ar"
"112",70,"Flood","en"
"113",71,"<U+0417><U+0430><U+0441><U+0443><U+0445><U+0430>","ru"
"114",71,"<U+05D1><U+05E6><U+05D5><U+05E8><U+05EA>","hw"
"115",71,"<U+062C><U+0641><U+0627><U+0641>","ar"
"116",71,"Drought","en"
"117",8,"<U+0417><U+0430><U+0433><U+0440><U+044F><U+0437><U+043D><U+0435><U+043D><U+0438><U+0435>","ru"
"118",8,"<U+05D6><U+05D9><U+05D4><U+05D5><U+05DD> <U+05D4><U+05E1><U+05D1><U+05D9><U+05D1><U+05D4>","hw"
"119",8,"<U+062A><U+0644><U+0648><U+062B>","ar"
"120",8,"Pollution","en"
