Index,Term_id,Term,Results_num,Wiki_top,Google_widget,video_count,PAA_count,Definition,Top_stories,TC_count,Wiki_pics_count,References_count,Wiki_word_count,Lang,Page_score
74,53,Malnutrition,4.40E+08,0,1,0,4,1,0,24,10,44,388,en,6.428571429
75,53,Malnutrition,3.00E+05,0,1,2,1,0,0,14,5,0,90,hw,4.285714286
76,53,Malnutrition,1520000,0,1,0,4,0,0,7,1,0,139,ru,4.285714286
77,54,Food Security,1180000,1,1,3,0,0,0,69,22,234,661,ar,5.714285714
78,54,Food Security,0,0,1,3,4,0,1,34,10,112,550,en,7.142857143
79,54,Food Security,132000,0,1,0,0,0,0,36,1,0,118,hw,2.857142857
80,54,Food Security,1200000,1,1,3,4,0,0,11,1,0,234,ru,5.714285714
81,56,Calorie,3840000,0,1,3,0,0,0,8,1,21,29,ar,4.285714286
82,56,Calorie,2.40E+09,0,1,0,4,1,0,8,1,1,283,en,4.285714286
83,56,Calorie,38300,1,0,0,0,0,0,7,0,0,90,hw,1.428571429
84,56,Calorie,1230000,1,1,3,4,0,0,4,1,0,193,ru,4.285714286
85,58,Renewable Energy,699000,1,0,3,0,0,0,51,28,230,721,ar,4.285714286
86,58,Renewable Energy,2.11E+08,0,1,3,4,1,1,17,5,17,1070,en,7.142857143
87,58,Renewable Energy,339000,1,1,3,1,0,0,24,9,0,118,hw,2.857142857
88,58,Renewable Energy,285000,1,0,3,4,0,0,17,7,7,106,ru,4.285714286
89,59,Climate change,1500000,1,1,3,0,0,0,41,24,337,1116,ar,5.714285714
90,59,Climate change,4.40E+09,0,1,3,4,0,1,21,8,57,1360,en,10
91,59,Climate change,451000,1,1,0,0,0,0,28,21,0,494,hw,2.857142857
92,59,Climate change,4640000,1,1,0,0,0,0,17,1,2,187,ru,2.857142857
93,6,Ecosystem,7540000,1,1,3,0,0,0,23,12,56,412,ar,4.285714286
94,6,Ecosystem,7.17E+09,0,1,3,4,1,0,22,1,3,539,en,5.714285714
95,6,Ecosystem,317000,1,1,3,0,0,0,36,26,0,94,hw,4.285714286
96,6,Ecosystem,4780000,1,1,0,4,0,0,8,1,0,173,ru,2.857142857
97,65,Soil contamination,2580000,1,1,3,0,0,0,18,2,21,184,ar,5.714285714
98,65,Soil contamination,2.14E+09,0,1,3,4,0,0,5,1,0,246,en,4.285714286
99,65,Soil contamination,713000,1,1,0,0,0,0,4,0,0,118,hw,2.857142857
100,65,Soil contamination,2640000,1,1,2,4,0,0,7,0,0,110,ru,5.714285714
101,66,Greenhouse gas,20200,1,1,0,0,0,0,21,13,89,776,ar,4.285714286
102,66,Greenhouse gas,1.61E+08,0,1,3,4,0,1,26,21,20,436,en,7.142857143
103,66,Greenhouse gas,125000,1,1,2,0,0,0,11,2,0,190,hw,4.285714286
104,66,Greenhouse gas,239000,1,1,3,4,0,0,7,3,5,184,ru,5.714285714
105,68,Infection,7950000,1,0,0,0,0,0,41,14,72,51,ar,2.857142857
106,68,Infection,5.65E+09,1,1,0,4,0,1,13,0,9,258,en,6.428571429
107,68,Infection,836000,1,0,0,0,0,0,8,0,0,14,hw,1.428571429
108,68,Infection,19500000,1,1,0,4,0,0,14,1,0,202,ru,2.857142857
109,70,Flood,997000,1,1,3,0,0,0,30,23,37,301,ar,4.285714286
110,70,Flood,4.42E+09,1,1,3,4,0,1,25,12,2,424,en,7.142857143
111,70,Flood,212000,1,1,3,0,0,0,32,10,0,36,hw,4.285714286
112,70,Flood,4510000,1,1,3,4,0,0,10,5,0,52,ru,5.714285714
113,71,Drought,28100000,0,1,0,0,0,0,18,16,72,412,ar,2.857142857
114,71,Drought,1.54E+08,0,1,3,4,1,1,17,2,0,296,en,7.142857143
115,71,Drought,5490000,1,1,3,0,0,0,15,4,0,41,hw,2.857142857
116,71,Drought,2790000,1,1,3,4,0,0,7,2,1,193,ru,5.714285714
117,8,Pollution,16700000,1,1,3,0,0,0,25,16,56,128,ar,4.285714286
118,8,Pollution,8.22E+09,0,1,3,4,0,1,41,12,50,25,en,7.142857143
119,8,Pollution,1240000,1,1,0,0,0,0,6,1,0,18,hw,2.857142857
120,8,Pollution,14100000,1,1,3,4,0,0,5,2,0,82,ru,4.285714286
